State,Code,Total murders,"Total firearms murders, 2010","Total firearms murders, 2009","% change, 2009-10",Handguns murders,Firearms murders as % of all murders,"Firearms murders per 100,000 population","Firearms robberies per 100,000 pop)","Firearms assaults per 100,000 population"
UNITED STATES,,"12,996","8,775","9,146",-4,"6,009",68,284,42,45
Alabama,AL,199,135,229,-41,112,68,285,17,32
Alaska,AK,31,19,13,46,3,61,268,22,77
Arizona,AZ,352,232,197,18,152,66,347,45,54
Arkansas,AR,130,93,107,-13,49,72,320,37,88
California,CA,"1,811","1,257","1,360",-8,953,69,337,48,45
Colorado,CO,117,65,94,-31,34,56,128,22,38
Connecticut,CT,131,97,70,39,72,74,275,33,22
Delaware,DE,48,38,31,23,25,79,426,94,92
District of Columbia,DC,131,99,113,-12,32,76,"1,621",256,99
Florida,FL,,,,,,,,59,71
Georgia,GA,527,376,378,-1,315,71,379,62,52
Hawaii,HI,24,7,8,-13,6,29,54,7,13
Idaho,ID,21,12,5,140,12,57,77,4,23
Illinois3,IL,453,364,386,-6,355,80,281,2,6
Indiana,IN,198,142,209,-32,83,72,220,17,8
Iowa,IA,38,21,11,91,9,55,69,9,19
Kansas,KS,100,63,85,-26,30,63,222,24,71
Kentucky,KY,180,116,112,4,76,64,267,40,24
Louisiana,LA,437,351,402,-13,263,80,775,47,77
Maine,ME,24,11,11,0,4,46,84,6,4
Maryland,MD,424,293,305,-4,272,69,511,57,31
Massachusetts,MA,209,118,93,27,52,56,178,25,31
Michigan,MI,558,413,437,-5,239,74,416,56,83
Minnesota,MN,91,53,38,39,43,58,100,19,20
Mississippi,MS,165,120,105,14,98,73,405,48,30
Missouri,MO,419,321,276,16,189,77,534,53,89
Montana,MT,21,12,19,-37,6,57,122,2,28
Nebraska,NE,51,32,23,39,29,63,177,24,29
Nevada,NV,158,84,91,-8,57,53,316,65,59
New Hampshire,NH,13,5,4,25,2,38,38,7,15
New Jersey,NJ,363,246,220,12,216,68,282,45,24
New Mexico,NM,118,67,78,-14,36,57,329,31,82
New York,NY,860,517,481,7,135,60,264,13,12
North Carolina,NC,445,286,335,-15,188,64,302,47,60
North Dakota,ND,9,4,3,33,3,44,61,2,3
Ohio,OH,460,310,311,0,176,67,269,56,30
Oklahoma,OK,188,111,125,-11,86,59,298,40,63
Oregon,OR,78,36,41,-12,20,46,93,15,16
Pennsylvania,PA,646,457,468,-2,367,71,362,52,39
Rhode Island,RI,29,16,18,-11,2,55,151,19,29
South Carolina,SC,280,207,197,5,136,74,450,58,115
South Dakota,SD,14,8,4,100,3,57,98,2,18
Tennessee,TN,356,219,295,-26,146,62,346,74,130
Texas,TX,"1,246",805,862,-7,581,65,319,65,62
Utah,UT,52,22,25,-12,16,42,78,12,21
Vermont,VT,7,2,0,,1,29,32,2,8
Virginia,VA,369,250,229,9,137,68,314,37,24
Washington,WA,151,93,101,-8,73,62,138,21,25
West Virginia,WV,55,27,38,-29,16,49,148,4,19
Wisconsin,WI,151,97,95,2,63,64,171,41,31
Wyoming,WY,8,5,8,-38,0,63,91,5,14